1: 1249,710,1250,710,1250,710,1249,710,0.01,####2b2b2b2b2b2b
1: 1245,710,1245,709,1245,709,1245,710,0.011,####b2b2b2b2b2b2b2
1: 1245,705,1245,705,1245,705,1245,705,0.011,####b2b2b2b2b2bfb
1: 1249,702,1250,702,1250,702,1249,702,0.01,####fb2b2b2f2f2fb2fb2fb
1: 13,29,13,29,13,29,13,29,0.011,####m
1: 13,34,13,34,13,34,13,34,0.013,####m
1: 13,26,13,26,13,26,13,26,0.011,####m
1: 1241,709,1242,710,1242,710,1241,710,0.011,####2b2b2b2b2b2b
1: 1241,705,1242,706,1242,706,1241,705,0.011,####b2b2b2b2b2b2
1: 1245,702,1245,702,1245,702,1245,702,0.01,####b2b2b
1: 1238,705,1238,705,1238,705,1238,705,0.011,####b2bfbfbfb
1: 13,41,13,41,13,41,13,41,0.015,####bmb
1: 13,46,13,46,13,46,13,46,0.015,####bmbmbmbmbmb
1: 1237,710,1238,710,1238,710,1237,710,0.011,####b
1: 13,38,13,38,13,38,13,38,0.014,####mbmb
1: 1241,702,1242,702,1242,702,1241,702,0.011,####beb
1: 18,29,18,30,18,30,17,29,0.011,####m
1: 18,34,18,34,18,34,18,34,0.013,####mbm
1: 18,26,18,26,18,26,18,26,0.01,####m
1: 13,50,13,49,13,49,13,50,0.016,####b
1: 1234,705,1234,705,1234,705,1234,705,0.011,####b
1: 13,78,13,78,13,78,13,78,0.017,####b
1: 1234,710,1234,710,1234,710,1234,710,0.012,####b2b
1: 1238,702,1238,702,1238,702,1238,702,0.011,####b
1: 13,82,13,82,13,82,13,82,0.017,####b
1: 18,41,18,41,18,41,18,41,0.015,####bmb
1: 18,38,18,38,18,38,18,38,0.014,####bmbmbmb
1: 1230,705,1230,705,1230,705,1230,705,0.011,####b
1: 1229,710,1230,709,1230,710,1229,710,0.011,####b
1: 13,105,13,105,13,105,13,105,0.018,####b
2: 1245,710,1245,709,1245,709,1245,710,0.01,####b
2: 190,710,190,710,190,710,189,710,0.01,####b
2: 374,710,374,710,374,710,373,710,0.011,####b
2: 206,705,206,705,206,705,206,705,0.01,####b
2: 373,705,374,706,374,706,373,705,0.011,####b
2: 377,705,378,705,378,705,377,705,0.011,####b
2: 201,710,202,710,202,710,201,710,0.01,####b
2: 369,705,370,705,370,705,369,705,0.011,####b
2: 1241,709,1242,710,1242,710,1241,710,0.01,####b
2: 365,705,366,705,366,705,365,705,0.011,####b
2: 370,710,370,710,370,710,369,710,0.011,####b
2: 210,705,210,705,210,705,210,705,0.011,####b
2: 401,705,402,705,402,705,401,705,0.011,####b
2: 193,705,194,705,194,705,193,705,0.01,####b
2: 398,705,398,706,398,706,398,705,0.011,####b
2: 350,710,350,710,350,710,349,710,0.011,####b
2: 369,702,370,702,370,702,369,702,0.01,####b
2: 266,709,266,710,266,710,266,709,0.011,####b
2: 393,710,394,710,394,710,393,710,0.011,####b
2: 365,701,366,702,366,702,365,701,0.01,####b
2: 377,709,378,709,378,710,377,710,0.011,####b
2: 189,705,190,705,190,705,189,705,0.01,####b
2: 1237,710,1238,710,1238,710,1237,710,0.01,####b
2: 341,710,342,710,341,710,341,710,0.011,####b
2: 222,710,222,710,222,710,221,710,0.011,####b
2: 398,710,398,710,398,710,397,710,0.011,####b
2: 394,705,394,705,394,705,394,705,0.011,####b
2: 178,705,178,705,178,705,178,705,0.01,####b
2: 381,710,381,709,381,709,381,710,0.011,####b
2: 373,702,374,702,373,702,373,702,0.01,####b
2: 354,710,354,710,354,710,354,710,0.011,####b
2: 361,705,362,705,362,705,361,705,0.01,####b
2: 357,709,358,709,358,710,357,710,0.01,####b
